Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
OPRE,3360,006,10,6,5,7,3,15,5,8,2,6,3,2,,,,,1,,"Ramezani, Rasoul","Sasalatti, Akshata",,,,,rxr145930,rasoul ramezani,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,007,10,4,7,6,7,16,5,4,4,3,2,4,,,,,3,,"Ramezani, Rasoul","Sasalatti, Akshata",,,,,rxr145930,rasoul ramezani,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,008,,21,6,8,6,5,3,5,6,2,2,2,7,,,,1,,"Toptal, Aysegul","Ahmed, Abeer Muntaseem",,,,,axt083100,aysegul toptal,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,009,2,16,9,1,6,5,4,6,2,4,2,3,10,,1,,2,,"Toptal, Aysegul","Ahmed, Abeer Muntaseem",,,,,axt083100,aysegul toptal,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,010,9,8,2,4,8,8,9,6,4,1,3,,5,,,,7,,"Whalen, Tristan G","Vanapalli, Venkata Bhadra Ganesh",,,,,tgw100020,tristan whalen,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,011,2,24,,27,6,5,,2,,,2,1,1,,,,2,,"Qin, Qi","Yan, Tianyu",,,,,jxq240004,qi qin,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,012,13,9,8,10,7,7,4,10,,1,2,1,1,,,,1,,"Ahadi, Khatereh","Bao, Dan","Tran, Qui Anh",,,,kxa180010,khatereh ahadi,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,013,7,4,7,9,12,9,4,8,3,1,2,1,2,,,,6,,"Whalen, Tristan G","Vanapalli, Venkata Bhadra Ganesh",,,,,tgw100020,tristan whalen,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,014,4,4,10,3,2,7,2,,7,,1,5,1,,,,1,,"Oguzman, Neslihan",,,,,,nxo170830,neslihan oguzman,Managerial Methods in Decision Making Under Uncertainty 
OPRE,3360,0W1,6,19,14,6,6,9,5,5,1,2,,3,2,,,,,,"Brussolo, Monica E","Batra, Nirmanyu",,,,,meb049000,monica brussolo,Managerial Methods in Decision Making Under Uncertainty 
