Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ARTS,4366,1,,9,4,2,,2,,,,,,,,,,,,0,"Travis, Audrey",,,,,,axt190092,,Advanced Drawing 
ARTS,4368,1,3,14,,,,,,,,,,,,,,,,0,"Pomara, John J",,,,,,pomara,john pomara,Advanced Visual Arts 
ARTS,4372,1,1,4,2,3,1,1,,,,1,,,,,,,,1,"Waligore, Marilyn",,,,,,waligore,marilyn waligore,Advanced Photography 
ATCM,2300,1,5,22,42,37,28,25,17,13,7,4,6,2,10,,,,,9,"Cooley, Heidi R","Acton, Logan H","Winter, Sabine","Gowda, Anupama","Ayodabo, Sunday J","Rahman, Mohammad K",hxc176430,heidi cooley,Introduction to TechnoCulture 
ATCM,2301,2,10,10,5,1,,,1,1,1,,,,1,,,,,0,"Simsek, Cansu Nur",,,,,,cxs180044,,Digital Art and Design Foundations 
ATCM,2301,4,,22,,,5,,,1,,,,,,,,,,2,"Fladager, Evan J",,,,,,ejf140030,evan fladager,Digital Art and Design Foundations 
ATCM,2301,5,6,2,4,4,6,1,3,,1,,,1,1,,,,,1,"Doust-Haghighi, Elham",,,,,,exd190010,elham doust haghighi,Digital Art and Design Foundations 
ATCM,2301,7,12,8,2,,3,1,,1,,,,2,1,,,,,0,"Ferreira de Souza, Leticia",,,,,,lxf161030,leticia ferreira de souza,Digital Art and Design Foundations 
ATCM,2301,1,,1,2,1,5,1,1,6,,1,1,1,6,,,,,1,"Marder, Amanda K",,,,,,akm150430,amanda marder,Digital Art and Design Foundations 
ATCM,2301,0W1,2,3,6,4,2,2,2,,2,,,,3,,,,,1,"Trosper, Elizabeth M","Zamaniderkani, Vajihe","De Leon, Jennifer M",,,,emt130130,elizabeth trosper,Digital Art and Design Foundations 
ATCM,2301,3,22,3,,,1,,,,,,,,3,,,,,0,"Banditrat, Emily",,,,,,exb200008,,Digital Art and Design Foundations 
ATCM,2301,6,8,7,6,3,1,2,1,1,,,,,,,,,,0,"Jaeggli, Erika",,,,,,exj220008,erika jaeggli,Digital Art and Design Foundations 
ATCM,2302,1,5,8,4,3,1,1,,1,1,,,,1,,,,,0,"Minnish, Roxanne W","Clement, Shonte M",,,,,rwm061000,roxanne minnish,Design I 
ATCM,2302,2,4,13,4,1,1,1,,,,,,,,,,,,1,"Minnish, Roxanne W","Ashouri, Shaghayegh",,,,,rwm061000,roxanne minnish,Design I 
ATCM,2302,0L3,5,11,2,1,3,,,1,,,,,1,,,,,1,"Minnish, Roxanne W","Gupta, Suvash",,,,,rwm061000,roxanne minnish,Design I 
ATCM,2302,3,10,7,3,6,1,,,,2,,1,,,,,,,0,"Ashkaboosi, Maryam",,,,,,mxa190061,maryam ashkaboosi,Design I 
ATCM,2302,0L1,3,4,1,5,1,1,3,2,2,2,1,2,3,,,,,0,"Beverly, Diamond E",,,,,,deb180004,diamond beverly,Design I 
ATCM,2302,0L2,4,4,5,3,,2,2,1,3,,,2,1,,,,,1,"Jones, Jazmine Q",,,,,,jqj130030,jazmine jones,Design I 
