Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Ali, Mohammed Z","Akbar, Md Navid",,,,,ENGR,3341,002,1,19,,6,9,1,,8,,,,,,,,,,,0,mohammed,ali mohammed,Probability Theory and Statistics 
"Swartz, William P","Birjandtalab Golkhatm, Javad","Wang, Xianan",,,,EEDG,6302,304,,5,6,4,2,1,,2,,,,,,,,,,,0,wps100020,william swartz,Microprocessor Systems 
"Vogel, Don G",,,,,,CS,2336,002,5,23,1,9,10,2,1,2,,,3,,2,,,,,,0,dgv130030,don vogel,Computer Science II 
"Mazidi, Karen J","Ochei, Dennis",,,,,CS,3340,003,8,15,15,3,7,6,2,1,1,1,,1,3,,,,,,0,kjm160430,karen mazidi,Computer Architecture 
"Meyer, Clark A","Li, Shichang","Bellary, Aditi",,,,BMEN,1208,002,4,3,2,1,3,3,,1,,,,,,,,,,,1,cam140130,clark meyer,Introduction to Bioengineering II 
"McMahan, Timothy",,,,,,CS,1200,016,9,12,5,3,1,2,,2,2,,,,5,,,,,,0,txm173230,timothy mcmahan,Introduction to Computer Science and Software Engineering 
"Hart, Robert A","Gravell, Jamie D","Salazar, Joshua E","Hilkert, James M",,,MECH,4381,001,,4,4,5,4,1,,,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project I 
"Hart, Robert A","Gravell, Jamie D","Salazar, Joshua E","Fadda, Dani Z","Hilkert, James M",,MECH,4381,002,,3,6,6,2,,,,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project I 
"Hart, Robert A","Salazar, Joshua E","Gravell, Jamie D","Fadda, Dani Z",,,MECH,4381,003,,1,6,5,4,,1,,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project I 
"Hart, Robert A","Salazar, Joshua E","Gravell, Jamie D","Griffith, Daniel T",,,MECH,4381,004,,3,4,5,4,,,1,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project I 
"Hart, Robert A","Salazar, Joshua E","Gravell, Jamie D","Griffith, Daniel T",,,MECH,4381,005,,8,3,4,,1,1,,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project I 
"Hart, Robert A","Salazar, Joshua E","Gravell, Jamie D",,,,MECH,4381,006,,7,4,2,2,2,,,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project I 
"Hart, Robert A","Salazar, Joshua E","Gravell, Jamie D",,,,MECH,4381,007,,7,5,1,3,1,1,,,,,,,,,,,,0,rxh124630,robert hart,Senior Design Project I 
"Skinner, Neal G",,,,,,EE,4388,503,,6,4,2,2,,1,,,,,,,,,,,,0,skinner,neal skinner,Senior Design Project I 
"Skinner, Neal G",,,,,,CE,4388,503,,3,5,1,1,,1,,,,,,,,,,,,0,skinner,neal skinner,Senior Design Project I 
"Perkins, Stephen J",,,,,,CS,1200,501,1,5,5,6,4,1,,1,1,,,,,,,,,,1,sxp127930,stephen perkins,Introduction to Computer Science and Software Engineering 
"Bray, Timothy M","Shih, Meng Ru","Shuraydi, Amny",,,,CRIM,1301,001,,2,8,7,5,4,7,2,,4,2,3,3,,,,,,2,tmb021000,timothy bray,Introduction to Criminal Justice 
"Boots, Denise P","Shuraydi, Amny",,,,,CRIM,1307,001,1,29,14,14,15,7,2,1,2,,2,1,1,,,,,,1,dpb062000,denise boots,Introduction to Crime and Criminology 
"Connell, Nadine","Han, Sungil",,,,,CRIM,3303,001,,3,12,12,7,6,4,3,,1,,,2,,,,,,0,nmc110030,nadine connell,Advanced Criminal Justice 
"Polk, Elmer O","Derlic, Dragana",,,,,CRIM,3319,0W1,30,27,7,1,5,3,,2,2,,,,1,,,,,,1,peo091000,elmer polk,Comparative Justice Systems 
"Vieraitis, Lynne M",,,,,,CRIM,4322,0H1,,3,2,4,1,1,2,1,,,1,,2,,,,,,0,lmv071000,lynne vieraitis,Senior Research Seminar 
"Ketsler, Luba",,,,,,ECON,2301,001,2,16,7,6,26,7,9,22,7,4,5,1,9,,,,,,3,lxk010300,luba ketsler,Principles of Macroeconomics 
"Valcarcel, Victor J",,,,,,ECON,2301,002,,57,1,10,39,,,5,1,,3,,10,,,,,,2,vjv150130,victor valcarcel,Principles of Macroeconomics 
"McElroy, Susan","Zhang, Licheng",,,,,ECON,2302,001,13,18,20,6,18,4,1,2,8,,6,,4,,,,,,3,skm028000,susan mcelroy,Principles of Microeconomics 
"Zhang, Zeyu",,,,,,ECON,3310,001,2,8,3,3,5,5,1,3,,,,,1,,,,,,3,zxz110530,zeyu zhang,Intermediate Microeconomic Theory 
"Valcarcel, Victor J",,,,,,ECON,3311,001,3,3,,1,8,1,,10,2,,3,,,,,,,,6,vjv150130,victor valcarcel,Intermediate Macroeconomic Theory 
"Dumas, Lloyd",,,,,,ECON,3311,501,,6,4,3,4,3,,3,,,,,1,,,,,,1,ljdumas,lloyd dumas,Intermediate Macroeconomic Theory 
"Ketsler, Luba",,,,,,ECON,3330,001,3,9,8,11,22,4,3,1,,,3,,3,,,,,,0,lxk010300,luba ketsler,Economics of Health 
"O'Brien, Daniel M",,,,,,ECON,4351,001,13,11,5,4,3,,,,,,,,,,,,,,0,obri,daniel obrien,Mathematical Economics 
"McCaskill, John R","Suh, Ji Won",,,,,PA,3310,001,,6,,1,1,1,,,1,,,,,,,,,,0,jrm094020,john mccaskill,Public Management 
"Arguelles, Ariel",,,,,,PA,3333,001,5,5,6,3,1,2,,1,,,,,1,,,,,,0,axa152731,ariel arguelles,Human Resources Management 
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,3377,001,,2,1,2,4,1,1,,,,,,1,,,,,,0,iav081000,irina vakulenko,Urban Planning and Policy 
"McCaskill, John R",,,,,,PA,6311,501,,10,,1,,,,,,,,,1,,,,,,1,jrm094020,john mccaskill,Public Management 
"Kiel, Lowell D",,,,,,PA,6313,0W1,,10,2,2,8,,,,,,,,1,,,,,,1,dkiel,,Public Policymaking and Institutions 
"Cohen, Galia",,,,,,PA,6345,501,,4,5,2,1,1,,,,,,,,,,,,,0,gxc097120,galia cohen,Human Resources Management 
"Cohen, Galia",,,,,,SOC,1301,001,13,13,21,10,12,14,11,4,5,5,4,1,3,,,,,,3,gxc097120,galia cohen,Introduction to Sociology 
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,1301,0W1,2,20,14,4,7,7,1,,,,3,,4,,,,,,0,zrs160030,zachary simoni,Introduction to Sociology 
"Sutton, Kara L",,,,,,SOC,4302,001,21,17,2,2,1,1,,2,2,,,,1,,,,,,1,klt011200,kara sutton,Class  Status  and Power 
"Polk, Elmer O","Derlic, Dragana",,,,,CRIM,2316,001,32,10,6,1,,3,,,1,,1,,1,,,,,,1,peo091000,elmer polk,Corrections 
"Worrall, John L","Narvey, Chelsey",,,,,CRIM,3300,0W1,,26,13,6,15,5,,6,2,,,1,7,,,,,,2,jlw064000,john worrall,Crime and Civil Liberties 
"Okeem, Chidike I",,,,,,CRIM,3301,001,,9,2,1,,1,,,,,,1,2,,,,,,1,cio150030,chidike okeem,Theories of Justice 
"Huskey, Michael",,,,,,CRIM,3302,001,2,7,5,5,1,1,1,1,,,,1,,,,,,,0,mxh160630,michael huskey,Advanced Criminology 
"Martin, Kelli D",,,,,,CRIM,4311,0W1,,20,,,8,,,3,,,1,,2,,,,,,1,kds106020,kelli martin,Crime and Justice Policy 
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,2303,001,7,7,5,3,2,1,1,1,,1,,,4,,,,,,0,iav081000,irina vakulenko,People and Place  An Introduction to World Geographic Regions 
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,3357,001,6,8,4,6,4,4,6,1,,,1,,,,,,,,2,iav081000,irina vakulenko,Spatial Dimensions of Health and Disease 
"Vakulenko, Irina","Shah, Muna",,,,,GEOG,3370,001,,1,3,2,1,3,3,2,1,,,,1,,,,,,1,iav081000,irina vakulenko,The Global Economy 
"Chun, Yongwan","Hu, Lan",,,,,GISC,6381,501,,11,,6,3,,,2,,,,,,,,,,,0,yxc070300,,Geographic Information Systems Fundamentals 
"Champagne, Anthony",,,,,,PSCI,3322,001,15,38,,,25,,,11,,,12,1,9,,,,,,5,tchamp,anthony champagne,Constitutional Law 
"D'Orazio, Vito","Bi, Jingnan",,,,,PSCI,3328,001,,10,10,17,8,7,12,6,1,,1,,3,,,,,,0,vxd152030,vito dorazio,International Relations 
"Brandt, Patrick",,,,,,PSCI,6350,001,,4,7,1,,2,,,,,,,1,,,,,,4,pxb054000,patrick brandt,Logic  Methodology  and Scope of Political Science 
"Tiefelsdorf, Michael","Pu, Xiaojun",,,,,GISC,6301,501,,2,5,5,2,3,1,4,,,,,,,,,,,0,mrt052000,michael tiefelsdorf,GIS Data Analysis Fundamentals 
"Chastain, Bryan J","Yu, Xiaohe",,,,,GISC,6317,501,,8,4,5,3,2,,4,,,,,1,,,,,,1,bjc062000,bryan chastain,GIS Programming Fundamentals 
"O'Brien, Daniel M",,,,,,ECON,6305,501,,19,,3,2,,,,,,,,,,,,,,0,obri,daniel obrien,Mathematical Economics 
"Li, Dong","Hou, Aoyu",,,,,ECON,7309,001,,6,8,6,1,,,,,,,,,,,,,,0,dxl145430,dong li,Econometrics II 
"Gorina, Evgenia","Abraham, Romeo",,,,,EPPS,6313,501,,7,1,,2,7,,,,,,,2,,,,,,2,exg131830,evgenia gorina,Introduction to Quantitative Methods 
"Kim, Dohyeong","Zaychik, Danielle",,,,,EPPS,7313,501,,10,2,1,3,2,,,,,,,,,,,,,3,dxk132530,dohyeong kim,Descriptive and Inferential Statistics 
"Arce, Daniel G","Griffie, Vernicia A",,,,,ECON,2302,002,5,31,5,12,21,11,11,19,13,,8,5,16,,,,,,7,dga071000,daniel arce,Principles of Microeconomics 
"Cummings, Anthony R","Karale, Yogita Y",,,,,GEOG,2302,001,1,1,3,1,5,4,,1,,,,,1,,,,,,0,arc131030,anthony cummings,The Global Environment 
"Lanham, Carol C","Love-Hal, Jewell N",,,,,SOC,3321,0W1,3,15,17,8,8,8,3,3,1,,1,,,,,,,,0,ccl054000,carol lanham,Deviance 
"Cheun, Jacquelyn J",,,,,,SOC,4372,001,15,23,1,4,7,1,,1,1,2,,,,,,,,,1,jjc150830,jacquelyn cheun,Health and Illness 
"Tiefelsdorf, Michael","Pu, Xiaojun",,,,,ECON,6306,001,,4,6,6,6,1,4,,,,,,1,,,,,,1,mrt052000,michael tiefelsdorf,Applied Econometrics 
"Dumas, Lloyd",,,,,,ECON,6352,501,,1,2,3,1,,,1,,,,,,,,,,,0,ljdumas,lloyd dumas,World Political Economy 
"Miller, Banks",,,,,,PSCI,6311,501,,6,7,3,,,,,,,,,1,,,,,,3,bxm093000,banks miller,Proseminar in Law and Courts 
"Chin, Michelle L","Harpham, Edward",,,,,PSCI,4370,HN1,41,7,,,,,,,,,,,,,,,,,0,mlc140530,,Policy Making Process 
"Daly, John A","Harpham, Edward",,,,,PSCI,4372,HN1,,48,,,,,,,,,,,,,,,,,0,jad105020,,Advocacy and Politics 
"Swerdlow, Joel L","Chin, Michelle L",,,,,PSCI,4373,HN1,,48,,,,,,,,,,,,,,,,,0,jls059000,,Politics of National Memory 
"Kamau, Casper",,,,,,GOVT,2107,0W1,16,4,,,,,,1,,1,,,1,,,,,,0,cxk103120,casper kamau,Federal and Texas Constitutions 
"Vakulenko, Irina","Shah, Muna",,,,,PA,3377,001,,1,6,4,3,1,,1,,,,,,,,,,,1,iav081000,irina vakulenko,Urban Planning and Policy 
"Scotch, Richard",,,,,,SOC,6350,001,,6,,,2,,,,,,,,1,,,,,,0,scotch,richard scotch,Social Stratification 
"Ketsler, Luba",,,,,,ECON,2301,003,2,17,10,8,35,9,8,33,4,2,6,2,9,,,,,,0,lxk010300,luba ketsler,Principles of Macroeconomics 
"Leblebicioglu, Asli",,,,,,ECON,6302,001,,2,3,3,2,,2,1,,,,,,,,,,,0,axl128330,,Macroeconomics Theory I 
"Harrington, James",,,,,,PA,7330,001,,5,2,,,,,,,,,,2,,,,,,1,jxh134630,james harrington,Research Design in Public Affairs 
"Boots, Denise P","Hayslip, Melissa P","Shuraydi, Amny",,,,CRIM,6300,5W1,,11,3,1,1,,,,,,,,,,,,,,0,dpb062000,denise boots,Proseminar in Criminology 
"Dutia, Anahita A",,,,,,PSCI,4V67,HN1,12,,,,,,,,,,,,,,,,,,0,axd050200,anahita dutia,Moot Court 
"Seldon, Barry J",,,,,,ECON,5321,001,,8,4,1,,,,,,,,,,,,,,,0,seldon,,Microeconomic Theory for Applications 
"Harrington, James",,,,,,EPPS,6316,501,,9,2,,5,2,1,1,,,,,,,,,,,0,jxh134630,james harrington,Applied Regression 
"Andrews, Rodney J",,,,,,ECON,3310,002,7,7,,2,6,1,,3,1,,,1,4,,,,,,2,rja091000,rodney andrews,Intermediate Microeconomic Theory 
"Scotch, Richard",,,,,,SOC,4372,HN1,14,9,,,,,,,,,,,,,,,,,0,scotch,richard scotch,Health and Illness 
"Kovandzic, Tomislav","Sanford, Stephanie M",,,,,CRIM,3323,001,2,10,4,1,19,4,4,14,2,,4,1,1,,,,,,2,tvk071000,tomislav kovandzic,Violence and Gun Control 
"Giertz, Seth","Nguyen, Hien T",,,,,ECON,4320,001,4,6,9,8,2,1,1,,,1,,,,,,,,,0,sxg154831,seth giertz,Public Sector Economics 
"Chastain, Bryan J","Yu, Xiaohe",,,,,GISC,4317,501,,4,1,,2,2,,1,,,,,,,,,,,0,bjc062000,bryan chastain,GeoComputation 
"Benavides, Teodoro J",,,,,,PA,6321,501,,23,,,4,,,,,,,,,,,,,,0,tjb051000,teodoro benavides,Government Financial Management and Budgeting 
"Chordiya, Rashmi V",,,,,,PA,3380,0W1,16,10,2,2,2,3,,1,,,,,3,,,,,,1,rvc140130,rashmi chordiya,Organizations  Theory and Behavior 
"Laprade, Jennifer M",,,,,,CRIM,1307,002,14,11,9,6,9,,2,2,,,,,3,,,,,,4,jml109020,jennifer laprade,Introduction to Crime and Criminology 
"Dumas, Lloyd",,,,,,IPEC,3349,HN1,,2,5,3,3,1,,,1,,,,,,,,,,2,ljdumas,lloyd dumas,World Resources and Development 
"Gray, Thomas","Lux, Ryan J","Okyere, Dennis K",,,,GOVT,2305,003,5,20,19,17,48,31,19,26,14,7,11,4,18,,,,,,9,txg171430,thomas gray,American National Government 
"Larue, Patrick","Emmanuel, Nichael","Gutierrez Mannix, Carlos Daniel",,,,GOVT,2305,001,1,6,12,6,11,7,8,11,9,4,8,1,8,,,,,,1,pxl111020,patrick larue,American National Government 
"Larue, Patrick","Gutierrez Mannix, Carlos Daniel","Emmanuel, Nichael",,,,GOVT,2305,002,2,13,20,26,27,19,12,15,4,8,13,7,8,,,,,,2,pxl111020,patrick larue,American National Government 
"Koo, Hyeongmo",,,,,,GISC,4326,001,3,,4,1,2,,,,,,,,,,,,,,0,hxk134230,,Cartography and GeoVisualization 
"Cummings, Anthony R","Karale, Yogita Y",,,,,ENVR,2302,001,2,,3,3,4,,1,1,2,,1,,,,,,,,0,arc131030,anthony cummings,The Global Environment 
"Aiken, Carlos",,,,,,GISC,5324,501,,9,2,,,,,,,,,,,,,,,,0,aiken,carlos aiken,3D Data Capture and Ground Lidar 
"Davis, Stephanie","Hoffman, Blake M","Latiolais, Jasmine R","Kim, Youngsil",,,GOVT,2306,001,117,42,32,24,15,21,17,9,8,4,,1,8,,,,,,2,sxd168630,stephanie davis,State and Local Government 
"Dow, Douglas C",,,,,,GOVT,2306,HN1,4,8,9,6,,,,,,,,,,,,,,,0,dougdow,douglas dow,State and Local Government 
"Maskaly, Jonathan","Hernandez, Richard",,,,,CRIM,2313,501,8,,3,1,3,2,4,,2,1,2,,1,,,,,,2,jxm166430,jonathan maskaly,Police and Society 
"McKay, Brian",,,,,,CRIM,2317,501,1,2,4,5,3,1,2,1,2,1,1,,,,,,,,0,bxm131530,brian mckay,Criminal Prosecution and Court Process 
"Powell, Zachary A",,,,,,CRIM,3310,001,,11,4,5,6,1,2,4,2,,2,1,5,,,,,,1,zap130030,zachary powell,Youth Crime and Justice 
"Jacobs, Bruce A",,,,,,CRIM,3326,001,,8,5,3,1,,,1,1,1,,,,,,,,,0,baj034000,bruce jacobs,Victimless Crimes 
"Yang, Shuo",,,,,,ECON,2302,003,,4,2,3,3,3,2,,,,3,,1,,,,,,1,sxy096120,shuo yang,Principles of Microeconomics 
"Bray, Timothy M","Shih, Meng Ru",,,,,EPPS,7313,001,,3,2,1,1,,,,,,,,,,,,,,0,tmb021000,timothy bray,Descriptive and Inferential Statistics 
"Dell, Brent",,,,,,GISC,2305,001,1,5,2,3,1,,1,,,,,,,,,,,,0,bxd160430,brent dell,Spatial Thinking and Data Analytics 
"Lee, Monghyeon",,,,,,GISC,3304,001,9,3,,,,,,,1,,,,,,,,,,0,mxl120631,monghyeon lee,Principles of Geospatial Information Sciences 
"Lee, Monghyeon",,,,,,GEOG,3304,001,6,,1,,,1,1,,,,,,,,,,,,1,mxl120631,monghyeon lee,Principles of Geospatial Information Sciences 
"Cummings, Anthony R","Karale, Yogita Y",,,,,GISC,6325,501,,18,11,1,2,2,,1,,,,,,,,,,,0,arc131030,anthony cummings,Remote Sensing Fundamentals 
"Lowe, Evan","Das, Soham","Zengin, Abdullah Furkan",,,,GOVT,2306,002,7,8,18,10,4,12,6,8,7,6,2,7,8,,,,,,6,exl171930,evan lowe,State and Local Government 
"Lee, Young-Joo",,,,,,PA,4355,001,4,6,9,5,2,5,,,1,,,,1,,,,,,1,yxl093000,young joo lee,Management of Nonprofit Organizations 
"Sabharwal, Meghna",,,,,,PA,6320,0W1,,14,,,3,,,,,,,,1,,,,,,0,mxs095000,meghna sabharwal,Organizational Theory 
"McCaskill, John R",,,,,,PA,6399,501,,11,,,,,,,,,,,,,,,,,0,jrm094020,john mccaskill,Capstone in Public Affairs 
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,4369,001,15,15,22,8,4,6,,1,,,1,1,,,1,,,,1,zrs160030,zachary simoni,Public Health and Society 
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,4385,001,4,13,14,4,3,,1,1,2,,,,,,,,,,0,zrs160030,zachary simoni,Health and Illness in Global and Cross-national Perspective 
"Alexander, Bobby",,,,,,EPPS,6346,001,,10,,,,,,,,,,,,,,,,,1,bcalex,bobby alexander,Qualitative Research Methods 
"Cheun, Jacquelyn J",,,,,,EPPS,2301,001,18,42,,6,7,,,1,1,,1,,2,,,,,,1,jjc150830,jacquelyn cheun,Research Design in the Social and Policy Sciences 
"Min, Soojin",,,,,,EPPS,2302,001,6,3,6,6,2,2,,1,,,,,1,,,,,,3,sxm123731,,Methods of Quantitative Analysis in the Social and Policy Sciences 
"Suh, Ji Won",,,,,,PA,3306,001,6,2,4,2,6,,,,,,,,,,,,,,0,jxs145530,,Advanced Research and Writing for the Policy Sciences 
"Harpham, Edward",,,,,,GOVT,2306,HN2,1,16,5,2,1,1,,,,,,,,,,,,,0,harpham,edward harpham,State and Local Government 
"Dumas, Lloyd",,,,,,PPPE,6352,501,,2,2,3,2,,,,,,,,,,,,,,0,ljdumas,lloyd dumas,World Political Economy 
"Leaf, Murray J",,,,,,PPPE,6329,501,,5,7,,1,,,,,,,,1,,,,,,0,mjleaf,murray leaf,Ethics  Culture  and Public Policy 
"Worrall, John L",,,,,,CRIM,7305,5H1,,6,1,,,,,,,,,,,,,,,,0,jlw064000,john worrall,Professional Development in Criminology 
"Bunte, Jonas B",,,,,,PPPE,6301,501,,7,3,2,1,1,2,,,,,,2,,,,,,0,jbb130330,jonas bunte,Political-Economic Theories 
"Fass, Simon",,,,,,PPPE,6310,501,,1,5,10,6,1,,,,,,,2,,,,,,1,fass,simon fass,Research Design I 
"Wunder, Timothy",,,,,,ECON,2302,0W1,,15,3,6,20,5,5,9,7,,8,,7,,,,,,2,txw132630,timothy wunder,Principles of Microeconomics 
"Connell, Nadine",,,,,,CRIM,6301,501,,2,4,3,5,5,,,,,,,,,,,,,0,nmc110030,nadine connell,Research Design I 
"Cai, Xiang",,,,,,EPPS,2302,501,5,7,4,3,2,2,3,4,3,3,2,,9,,,,,,3,xxc110430,xiang cai,Methods of Quantitative Analysis in the Social and Policy Sciences 
"Benavides, Teodoro J",,,,,,PA,6348,0W1,,6,,,,,,,,,,,,,,,,,0,tjb051000,teodoro benavides,Navigating the Public Service Workplace 
"Gorina, Evgenia",,,,,,PA,7306,501,,3,2,2,,,,,,,,,,,,,,,0,exg131830,evgenia gorina,Foundations of Public Affairs 
"Skaggs, Sheryl L",,,,,,SOC,1301,HN1,21,4,,,,,,,,,,,,,,,,,0,slskaggs,sheryl skaggs,Introduction to Sociology 
"McElroy, Susan","Zhang, Licheng",,,,,ECON,3337,001,8,13,5,10,10,4,1,3,,,,,3,,,,,,0,skm028000,susan mcelroy,Economics of Poverty and Inequality 
"Arce, Daniel G",,,,,,ECON,4310,001,1,10,4,3,15,2,2,,,,,,,,,,,,1,dga071000,daniel arce,Managerial Economics 
"Li, Dong","Hou, Aoyu",,,,,ECON,4355,001,3,6,3,7,2,2,2,3,2,1,1,1,1,,,,,,1,dxl145430,dong li,Econometrics 
"Siqueira, Kevin J",,,,,,ECON,7303,001,,2,3,2,1,,,,,,,,,,,,,,0,kjs064000,kevin siqueira,Microeconomics Theory III 
"Davis, Stephanie","Hoffman, Blake M","Latiolais, Jasmine R","Kim, Youngsil",,,GOVT,2305,004,57,49,39,23,18,29,16,8,10,5,2,2,11,,,,,,2,sxd168630,stephanie davis,American National Government 
"Davis, Stephanie","Hoffman, Blake M","Latiolais, Jasmine R","Kim, Youngsil",,,GOVT,2306,003,111,37,33,15,27,31,9,11,9,4,1,4,1,,,,,,7,sxd168630,stephanie davis,State and Local Government 
"Champagne, Anthony",,,,,,PSCI,3303,001,8,38,,,17,,,12,,,4,,3,,,,,,3,tchamp,anthony champagne,Civil Liberties 
"Peinhardt, Clint W",,,,,,PSCI,4329,001,,8,7,6,12,7,3,4,,,3,,1,,,,,,0,cwp052000,clint peinhardt,Global Politics 
"Maskaly, Jonathan","Hernandez, Richard",,,,,EPPS,6313,001,,10,2,3,,,1,1,,,,,,,,,,,0,jxm166430,jonathan maskaly,Introduction to Quantitative Methods 
"Dean, Denis J",,,,,,GISC,6379,001,,5,,,2,3,,,,,,,,,,,,,0,djd081000,denis dean,Special Topics in Geographic Information Sciences 
"Smith, Erin",,,,,,SOC,2300,001,,2,3,4,5,1,,,,,,,2,,,1,,,1,erins,erin smith,Introduction to Gender Studies 
"Sabharwal, Meghna",,,,,,PA,2325,001,4,7,5,8,5,4,1,1,,,1,,2,,,,,,0,mxs095000,meghna sabharwal,Introduction to Public Service 
"Jacobs, Bruce A",,,,,,CRIM,6303,001,,2,5,1,,,,,,,,,,,,,,,0,baj034000,bruce jacobs,Etiology of Crime and Criminality 
"Beron, Kurt","Kwak, Jihun",,,,,ECON,6306,501,,10,,,5,2,,2,,,,,1,,,,,,0,kberon,kurt beron,Applied Econometrics 
"Lowry, Robert C","Endicott, Connor W","Sun, Zeyu",,,,PSCI,3325,001,6,18,14,9,16,7,3,5,1,2,1,3,6,,,,,,3,rcl062000,robert lowry,American Public Policy 
"Lowe, Evan","Das, Soham","Zengin, Abdullah Furkan",,,,GOVT,2306,004,28,26,45,33,29,34,14,23,20,10,9,13,14,,,,,,1,exl171930,evan lowe,State and Local Government 
"Piquero, Alexis M",,,,,,CRIM,7300,001,,2,1,3,3,,,,,,,,,,,,,,0,axp116030,,Advances in Criminology Theory 
"Wheeler, Andrew",,,,,,CRIM,7301,001,,10,,,,,,,,,,,,,,,,,0,axw161530,,Seminar in Criminology Research and Analysis 
"Kiel, Lowell D",,,,,,PA,4370,001,,5,3,,2,,2,,2,,,,1,,,,,,1,dkiel,,Leadership 
"Goodman, Doug",,,,,,PA,7320,001,,4,1,2,,,,,,,,,1,,,,,,0,dxg101000,doug goodman,Advanced Human Capital Research and Theory 
"Kiser, Stephen L",,,,,,ECON,4342,501,4,2,6,,9,2,1,2,,,3,,,,,,,,0,slk012100,stephen kiser,Public Policies Toward Business 
"Kim, Kwang Soo",,,,,,ECON,2301,501,10,10,1,4,2,1,,,,,1,,,,,,,,2,kxk124930,,Principles of Macroeconomics 
"Si, Xia",,,,,,ECON,2301,502,,17,8,8,4,1,3,2,,,,,3,,,,,,2,xxs101120,xia si,Principles of Macroeconomics 
"Ketsler, Luba",,,,,,ECON,3330,002,4,19,9,11,18,5,2,5,1,,,1,,,,,,,0,lxk010300,luba ketsler,Economics of Health 
"Earle, Doric E",,,,,,ECON,3330,501,,3,7,5,11,1,1,,,,,,4,,,,,,0,dee011000,doric earle,Economics of Health 
"Siqueira, Kevin J",,,,,,ECON,4333,001,1,5,,1,,,2,,,1,2,1,1,,,,,,2,kjs064000,kevin siqueira,Environmental Economics 
"Griffith, Daniel A",,,,,,GISC,6379,002,,,1,3,1,,,,,,,,,,,,,,2,dag054000,,Special Topics in Geographic Information Sciences 
"Giertz, Seth","Nguyen, Hien T",,,,,ECON,4302,001,,5,5,5,4,7,1,,,,,,,,,,,,0,sxg154831,seth giertz,Urban and Regional Economics 
"Larue, Patrick",,,,,,PSCI,3350,001,6,16,9,8,7,5,4,7,3,2,,1,2,,,,,,0,pxl111020,patrick larue,Comparative Politics 
"Malek-Ahmadi, John H",,,,,,SOC,3342,0W1,7,33,,5,9,,,2,,,,,,,,,,,0,jhm110020,john malek ahmadi,The Life Cycle 
"Alexander, Bobby","Love-Hal, Jewell N",,,,,SOC,4388,001,12,21,6,3,1,,,,,,,,3,,,,,,1,bcalex,bobby alexander,Religions in Global Societies 
"Elliott, Euel W","Latiolais, Jasmine R",,,,,GOVT,2306,PAC,,19,,,,,,,,,,,,,,,,,0,eelliott,euel elliott,State and Local Government 
"De Olivares, Karen L",,,,,,SOC,3315,PAC,6,17,1,,,,,,,,,,,,,,,,0,kxd124130,,Socio-Behavioral Sciences for Medicine 
"McCaskill, John R","Suh, Ji Won",,,,,PSCI,3310,001,,18,3,1,2,,1,2,1,,,,1,,,,,,0,jrm094020,john mccaskill,Public Management 
"Maxwell, Sarah P",,,,,,PA,6387,0W1,,7,1,,,,,,,,,,,,,,,,1,spm092000,sarah maxwell,Strategic Planning for Nonprofit 
"Lanham, Carol C",,,,,,EPPS,1110,001,,44,,,6,,,3,,,3,,4,,,,,,0,ccl054000,carol lanham,Freshman Seminar 
"Yuan, May",,,,,,GISC,4380,001,,1,5,,1,3,,,,,,,,,,,,,0,mxy141230,,Spatial Concepts and Organization 
"Kiser, Stephen L",,,,,,ECON,3332,001,,4,13,1,5,,,,,,,,,,,,,,0,slk012100,stephen kiser,Economic Geography 
"Lanham, Carol C",,,,,,EPPS,1110,002,,35,,,6,,,7,,,3,,3,,,,,,0,ccl054000,carol lanham,Freshman Seminar 
"Seagroves, Tony A","Lazatin, Francis X",,,,,PSCI,4V66,501,10,12,1,,,,,,,,,,,,,,,,0,tas064000,tony seagroves,Mock Trial 
"Sutton, Kara L",,,,,,SOC,3305,001,3,5,2,3,,,,,,,,,,,,,,,0,klt011200,kara sutton,Applied Data Analysis 
"O'Brien, Daniel M","Yue, Wanwan",,,,,ECON,6306,502,,20,8,1,,,,,,,,,,,,,,,0,obri,daniel obrien,Applied Econometrics 
"Hernandez-Guerrero, Rodolfo",,,,,,PSCI,4331,501,,2,9,5,5,2,,2,,,,1,3,,,,,,1,rfo,,Mexican Politics 
"Kim, Alisha A",,,,,,EPPS,2301,002,,17,6,6,15,8,2,1,1,,1,,3,,,,,,0,axk124331,alisha kim,Research Design in the Social and Policy Sciences 
