Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CHEM,1112,104,3,,3,,1,,1,,,1,,1,5,,,,,2,"Abeykoon, Nimali C","Polara, Himanshu S",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,105,8,6,1,2,3,1,1,,,,,,4,,,,,4,"Abeykoon, Nimali C","Gamage, Madujika A",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,106,7,2,3,3,1,2,1,1,,,,3,4,,,,,3,"Anka, Fadwa H","Gamage, Madujika A",,,,,fha041000,fadwa anka,General Chemistry Laboratory II 
CHEM,1112,601,2,3,,1,2,2,1,1,1,,1,1,2,,,,,3,"Panangala, Samitha D","Gull, Humera",,,,,sdp140230,samitha panangala,General Chemistry Laboratory II 
CHEM,1112,602,2,4,1,3,,1,2,1,1,,1,,4,,,,,4,"Panangala, Samitha D","Gamage, Madujika A",,,,,sdp140230,samitha panangala,General Chemistry Laboratory II 
CHEM,1115,HN1,,30,,,,,,,,,,,,,,,,0,"Sibert, John W",,,,,,sibertj,john sibert,Honors Freshman Chemistry Laboratory I 
CHEM,1311,001,6,20,13,8,17,11,10,16,14,1,5,2,13,,,,,3,"Taylor, Stephanie M","Alexander, Shevon",,,,,smt031000,stephanie taylor,General Chemistry I 
CHEM,1311,002,14,43,24,31,32,30,15,15,11,6,2,1,7,,,,,9,"Taylor, Stephanie M","Alexander, Shevon",,,,,smt031000,stephanie taylor,General Chemistry I 
CHEM,1311,003,8,20,21,17,25,19,17,29,13,4,6,3,32,,,,,18,"Sibert, John W",,,,,,sibertj,john sibert,General Chemistry I 
CHEM,1311,004,7,36,17,24,26,28,17,16,22,5,8,1,23,,,,,8,"Dieckmann, Gregg",,,,,,dieckgr,gregg dieckmann,General Chemistry I 
CHEM,1311,005,5,35,23,25,29,21,16,11,24,5,11,2,20,,,,,11,"Dieckmann, Gregg",,,,,,dieckgr,gregg dieckmann,General Chemistry I 
CHEM,1311,006,2,9,11,6,16,8,10,8,8,3,1,3,8,,,,,5,"Abeykoon, Nimali C",,,,,,nxa124430,nimali abeykoon,General Chemistry I 
